,Year,Month,State,County,Rate
296294,1990,December,California,Inyo County,9.0
296295,1990,December,California,Stanislaus County,13.8
296296,1990,December,California,Orange County,4.1
296297,1990,December,California,Trinity County,17.7
296298,1990,December,California,Alpine County,13.5
296299,1990,December,California,Madera County,15.7
296300,1990,December,California,Imperial County,23.8
296301,1990,December,California,Kings County,13.4
296302,1990,December,California,Mariposa County,8.3
296303,1990,December,California,San Benito County,16.1
296304,1990,December,California,Lake County,10.1
296305,1990,December,California,El Dorado County,5.6
296306,1990,December,California,Solano County,5.7
296307,1990,December,California,Los Angeles County,6.4
296308,1990,December,California,San Diego County,5.3
296309,1990,December,California,Alameda County,4.2
296310,1990,December,California,Colusa County,22.7
296311,1990,December,California,Sierra County,14.3
296312,1990,December,California,Tehama County,12.0
296313,1990,December,California,Modoc County,12.7
296314,1990,December,California,Amador County,6.1
296315,1990,December,California,San Joaquin County,12.3
296316,1990,December,California,Siskiyou County,15.0
296317,1990,December,California,Riverside County,8.4
296318,1990,December,California,San Francisco County,3.7
296319,1990,December,California,San Bernardino County,6.5
296320,1990,December,California,Santa Clara County,4.5
296321,1990,December,California,Tulare County,15.0
296322,1990,December,California,Shasta County,10.1
296323,1990,December,California,Santa Barbara County,5.9
296324,1990,December,California,Monterey County,13.4
296325,1990,December,California,Tuolumne County,7.3
296326,1990,December,California,Sutter County,17.8
296327,1990,December,California,Butte County,8.9
296328,1990,December,California,Kern County,12.0
296329,1990,December,California,Napa County,5.2
296330,1990,December,California,Mendocino County,10.9
296331,1990,December,California,Plumas County,13.7
271641,1990,February,California,Humboldt County,9.7
271642,1990,February,California,Sonoma County,3.8
271643,1990,February,California,San Luis Obispo County,3.8
271644,1990,February,California,Glenn County,13.6
271645,1990,February,California,Nevada County,5.6
271646,1990,February,California,Yolo County,8.5
271647,1990,February,California,Sacramento County,4.6
271648,1990,February,California,Fresno County,14.0
271649,1990,February,California,Calaveras County,8.3
271650,1990,February,California,Marin County,2.3
271651,1990,February,California,Lassen County,14.3
271652,1990,February,California,Contra Costa County,3.7
271653,1990,February,California,Yuba County,13.2
271654,1990,February,California,Del Norte County,16.1
271655,1990,February,California,San Mateo County,2.3
271656,1990,February,California,Mono County,2.3
271657,1990,February,California,Merced County,15.2
271658,1990,February,California,Santa Cruz County,9.4
271659,1990,February,California,Ventura County,4.5
271660,1990,February,California,Placer County,4.0
271661,1990,February,California,Inyo County,6.6
271662,1990,February,California,Stanislaus County,13.1
271663,1990,February,California,Orange County,2.8
271664,1990,February,California,Trinity County,19.0
271665,1990,February,California,Alpine County,3.3
271666,1990,February,California,Madera County,14.9
271667,1990,February,California,Imperial County,19.4
271668,1990,February,California,Kings County,13.5
271669,1990,February,California,Mariposa County,7.6
271670,1990,February,California,San Benito County,13.1
271671,1990,February,California,Lake County,9.8
271672,1990,February,California,El Dorado County,4.7
271673,1990,February,California,Solano County,4.6
271674,1990,February,California,Los Angeles County,5.7
271675,1990,February,California,San Diego County,3.8
271676,1990,February,California,Alameda County,3.7
271677,1990,February,California,Colusa County,22.1
271678,1990,February,California,Sierra County,18.9
271679,1990,February,California,Tehama County,10.3
271680,1990,February,California,Modoc County,12.0
271681,1990,February,California,Amador County,6.3
271682,1990,February,California,San Joaquin County,10.9
271683,1990,February,California,Siskiyou County,16.4
271684,1990,February,California,Riverside County,5.8
271685,1990,February,California,San Francisco County,3.4
271686,1990,February,California,San Bernardino County,4.5
271687,1990,February,California,Santa Clara County,3.5
271688,1990,February,California,Tulare County,13.9
271689,1990,February,California,Shasta County,10.8
271690,1990,February,California,Santa Barbara County,5.1
271691,1990,February,California,Monterey County,13.6
271692,1990,February,California,Tuolumne County,8.9
271693,1990,February,California,Sutter County,17.9
271694,1990,February,California,Butte County,9.3
271695,1990,February,California,Kern County,11.9
271696,1990,February,California,Napa County,3.6
271697,1990,February,California,Mendocino County,9.1
271698,1990,February,California,Plumas County,16.9
285498,1990,January,California,Humboldt County,10.1
285499,1990,January,California,Sonoma County,4.0
285500,1990,January,California,San Luis Obispo County,4.2
